ЖУРНАЛ ЭКСПЕРИМЕНТОВ ЛАБОРАТОРИИ, 2025 г.
Записи ведут дежурные исследователи; каждый запуск получает номер run-N.

2025-01-09 | run-101 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=0.1, batch=128, epochs=30 | val accuracy 0.8802 | loss на валидации немного шумит после 15-й эпохи.
2025-01-14 | run-113 | ViT-S/16 | cifar10-subset | AdamW, lr=5e-4, batch=64, epochs=30 | val accuracy 0.8193 | повторить с другим сидом для оценки разброса.
2025-01-14 | run-114 | LightGBM | tabular-credit | AdamW, learning_rate=1e-3, batch=256, epochs=20 | val accuracy 0.9292 | без замечаний, кривые обучения ровные.
2025-01-14 | run-115 | ResNet-18 | cifar10-subset | AdamW, lr=3e-4, batch=256, epochs=20 | val accuracy 0.9 | ранняя остановка сработала раньше лимита эпох.
2025-01-15 | run-116 | LightGBM | cifar10-subset | AdamW, learning_rate=0.1, batch=64, epochs=50 | val accuracy 0.8036 | валидация стабильна между эпохами, переобучения не видно.
2025-01-15 | run-117 | MLP-3x256 | cifar10-subset | AdamW, lr=1e-3, batch=256, epochs=20 | val accuracy 0.8898 | памяти GPU хватает с запасом, можно увеличить batch.
2025-01-16 | run-118 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=5e-4, batch=64, epochs=50 | val accuracy 0.872 | результат в пределах разброса предыдущих запусков.
2025-01-16 | run-119 | ResNet-18 | digits-aug | AdamW, lr=0.05, batch=128, epochs=50 | val accuracy 0.8329 | результат в пределах разброса предыдущих запусков.
2025-01-17 | run-120 | ViT-S/16 | cifar10-subset | AdamW, lr=3e-4, batch=128, epochs=20 | val accuracy 0.8565 | результат в пределах разброса предыдущих запусков.
2025-01-17 | run-121 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=0.05, batch=256, epochs=30 | val accuracy 0.9485 | loss на валидации немного шумит после 15-й эпохи.
2025-01-17 | run-122 | MLP-3x256 | digits-aug | SGD+momentum, lr=3e-4, batch=64, epochs=30 | val accuracy 0.8925 | валидация стабильна между эпохами, переобучения не видно.
2025-01-20 | run-123 | ResNet-18 | digits-aug | SGD+momentum, lr=3e-4, batch=128, epochs=30 | val accuracy 0.8396 | памяти GPU хватает с запасом, можно увеличить batch.
2025-01-20 | run-124 | LightGBM | digits-aug | AdamW, learning_rate=5e-4, batch=128, epochs=50 | val accuracy 0.864 | валидация стабильна между эпохами, переобучения не видно.
2025-01-20 | run-125 | ResNet-18 | digits-aug | AdamW, lr=5e-4, batch=64, epochs=50 | val accuracy 0.8264 | результат в пределах разброса предыдущих запусков.
2025-01-21 | run-126 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=0.1, batch=256, epochs=50 | val accuracy 0.869 | без замечаний, кривые обучения ровные.
2025-01-21 | run-127 | ViT-S/16 | tabular-credit | AdamW, lr=5e-4, batch=128, epochs=50 | val accuracy 0.9158 | результат в пределах разброса предыдущих запусков.
2025-01-21 | run-128 | ResNet-18 | cifar10-subset | SGD+momentum, lr=5e-4, batch=128, epochs=20 | val accuracy 0.8515 | ранняя остановка сработала раньше лимита эпох.
2025-01-21 | run-129 | ViT-S/16 | digits-aug | AdamW, lr=3e-4, batch=128, epochs=50 | val accuracy 0.9628 | ранняя остановка сработала раньше лимита эпох.
2025-01-22 | run-130 | ResNet-18 | cifar10-subset | AdamW, lr=1e-3, batch=256, epochs=50 | val accuracy 0.9617 | валидация стабильна между эпохами, переобучения не видно.
2025-01-22 | run-131 | ViT-S/16 | cifar10-subset | AdamW, lr=5e-4, batch=64, epochs=20 | val accuracy 0.8462 | результат в пределах разброса предыдущих запусков.
2025-01-22 | run-132 | MLP-3x256 | digits-aug | AdamW, lr=1e-3, batch=128, epochs=20 | val accuracy 0.8453 | памяти GPU хватает с запасом, можно увеличить batch.
2025-01-23 | run-133 | LightGBM | cifar10-subset | AdamW, learning_rate=5e-4, batch=64, epochs=20 | val accuracy 0.9405 | время эпохи в норме, узел gpu-07.
2025-01-23 | run-134 | LightGBM | digits-aug | SGD+momentum, learning_rate=5e-4, batch=64, epochs=50 | val accuracy 0.9548 | результат в пределах разброса предыдущих запусков.
2025-01-23 | run-135 | MLP-3x256 | digits-aug | SGD+momentum, lr=5e-4, batch=64, epochs=20 | val accuracy 0.9438 | ранняя остановка сработала раньше лимита эпох.
2025-01-24 | run-136 | ResNet-18 | cifar10-subset | AdamW, lr=5e-4, batch=128, epochs=50 | val accuracy 0.855 | валидация стабильна между эпохами, переобучения не видно.
2025-01-24 | run-137 | LightGBM | digits-aug | AdamW, learning_rate=1e-3, batch=64, epochs=50 | val accuracy 0.8445 | памяти GPU хватает с запасом, можно увеличить batch.
2025-01-24 | run-138 | LightGBM | tabular-credit | AdamW, learning_rate=5e-4, batch=256, epochs=20 | val accuracy 0.819 | без замечаний, кривые обучения ровные.
2025-01-27 | run-139 | ViT-S/16 | digits-aug | AdamW, lr=5e-4, batch=128, epochs=30 | val accuracy 0.8665 | ранняя остановка сработала раньше лимита эпох.
2025-01-27 | run-140 | ResNet-18 | cifar10-subset | SGD+momentum, lr=0.05, batch=128, epochs=20 | val accuracy 0.8556 | результат в пределах разброса предыдущих запусков.
2025-01-27 | run-141 | ResNet-18 | digits-aug | SGD+momentum, lr=0.05, batch=128, epochs=50 | val accuracy 0.8062 | повторить с другим сидом для оценки разброса.
2025-01-28 | run-142 | MLP-3x256 | digits-aug | AdamW, lr=1e-3, batch=64, epochs=50 | val accuracy 0.9333 | время эпохи в норме, узел gpu-07.
2025-01-28 | run-143 | ResNet-18 | tabular-credit | AdamW, lr=1e-3, batch=256, epochs=30 | val accuracy 0.865 | результат в пределах разброса предыдущих запусков.
2025-01-28 | run-144 | MLP-3x256 | digits-aug | AdamW, lr=0.05, batch=64, epochs=30 | val accuracy 0.8138 | повторить с другим сидом для оценки разброса.
2025-01-29 | run-145 | ViT-S/16 | tabular-credit | AdamW, lr=1e-3, batch=256, epochs=20 | val accuracy 0.9356 | результат в пределах разброса предыдущих запусков.
2025-01-29 | run-146 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=0.05, batch=256, epochs=20 | val accuracy 0.8423 | время эпохи в норме, узел gpu-07.
2025-01-29 | run-147 | ViT-S/16 | cifar10-subset | AdamW, lr=0.05, batch=256, epochs=20 | val accuracy 0.8624 | валидация стабильна между эпохами, переобучения не видно.
2025-01-29 | run-148 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=0.05, batch=128, epochs=50 | val accuracy 0.9448 | loss на валидации немного шумит после 15-й эпохи.
2025-01-30 | run-149 | MLP-3x256 | digits-aug | AdamW, lr=0.1, batch=64, epochs=20 | val accuracy 0.9006 | loss на валидации немного шумит после 15-й эпохи.
2025-01-30 | run-150 | LightGBM | tabular-credit | AdamW, learning_rate=0.1, batch=128, epochs=50 | val accuracy 0.8245 | повторить с другим сидом для оценки разброса.
2025-01-30 | run-151 | MLP-3x256 | digits-aug | SGD+momentum, lr=0.05, batch=64, epochs=50 | val accuracy 0.8109 | без замечаний, кривые обучения ровные.
2025-01-30 | run-152 | ResNet-18 | cifar10-subset | AdamW, lr=1e-3, batch=128, epochs=30 | val accuracy 0.8496 | повторить с другим сидом для оценки разброса.
2025-01-31 | run-153 | MLP-3x256 | tabular-credit | SGD+momentum, lr=0.1, batch=256, epochs=20 | val accuracy 0.8829 | валидация стабильна между эпохами, переобучения не видно.
2025-01-31 | run-154 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=0.1, batch=128, epochs=30 | val accuracy 0.9487 | ранняя остановка сработала раньше лимита эпох.
2025-01-31 | run-155 | ViT-S/16 | cifar10-subset | AdamW, lr=3e-4, batch=256, epochs=30 | val accuracy 0.8499 | loss на валидации немного шумит после 15-й эпохи.
2025-02-03 | run-156 | MLP-3x256 | tabular-credit | SGD+momentum, lr=0.05, batch=128, epochs=20 | val accuracy 0.8634 | повторить с другим сидом для оценки разброса.
2025-02-03 | run-157 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=5e-4, batch=64, epochs=30 | val accuracy 0.8092 | ранняя остановка сработала раньше лимита эпох.
2025-02-04 | run-158 | MLP-3x256 | digits-aug | AdamW, lr=3e-4, batch=128, epochs=30 | val accuracy 0.9337 | без замечаний, кривые обучения ровные.
2025-02-04 | run-159 | MLP-3x256 | tabular-credit | SGD+momentum, lr=1e-3, batch=64, epochs=20 | val accuracy 0.8167 | без замечаний, кривые обучения ровные.
2025-02-04 | run-160 | ViT-S/16 | digits-aug | SGD+momentum, lr=1e-3, batch=256, epochs=30 | val accuracy 0.9155 | время эпохи в норме, узел gpu-07.
2025-02-05 | run-161 | MLP-3x256 | cifar10-subset | AdamW, lr=0.1, batch=256, epochs=50 | val accuracy 0.9156 | loss на валидации немного шумит после 15-й эпохи.
2025-02-05 | run-162 | ResNet-18 | digits-aug | SGD+momentum, lr=3e-4, batch=128, epochs=30 | val accuracy 0.9581 | валидация стабильна между эпохами, переобучения не видно.
2025-02-05 | run-163 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=0.05, batch=64, epochs=30 | val accuracy 0.8613 | loss на валидации немного шумит после 15-й эпохи.
2025-02-05 | run-164 | ResNet-18 | cifar10-subset | AdamW, lr=0.05, batch=64, epochs=50 | val accuracy 0.8421 | время эпохи в норме, узел gpu-07.
2025-02-06 | run-165 | ResNet-18 | digits-aug | SGD+momentum, lr=0.1, batch=64, epochs=20 | val accuracy 0.8504 | ранняя остановка сработала раньше лимита эпох.
2025-02-06 | run-166 | MLP-3x256 | cifar10-subset | AdamW, lr=0.05, batch=128, epochs=20 | val accuracy 0.8104 | без замечаний, кривые обучения ровные.
2025-02-06 | run-167 | MLP-3x256 | tabular-credit | SGD+momentum, lr=1e-3, batch=128, epochs=50 | val accuracy 0.8819 | памяти GPU хватает с запасом, можно увеличить batch.
2025-02-07 | run-168 | LightGBM | cifar10-subset | AdamW, learning_rate=5e-4, batch=128, epochs=30 | val accuracy 0.9141 | повторить с другим сидом для оценки разброса.
2025-02-07 | run-169 | ResNet-18 | cifar10-subset | SGD+momentum, lr=1e-3, batch=64, epochs=20 | val accuracy 0.8984 | без замечаний, кривые обучения ровные.
2025-02-10 | run-170 | ResNet-18 | digits-aug | AdamW, lr=5e-4, batch=64, epochs=50 | val accuracy 0.8609 | время эпохи в норме, узел gpu-07.
2025-02-10 | run-171 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=1e-3, batch=256, epochs=30 | val accuracy 0.8787 | повторить с другим сидом для оценки разброса.
2025-02-10 | run-172 | ResNet-18 | cifar10-subset | SGD+momentum, lr=5e-4, batch=128, epochs=30 | val accuracy 0.8781 | loss на валидации немного шумит после 15-й эпохи.
2025-02-11 | run-173 | ResNet-18 | cifar10-subset | SGD+momentum, lr=3e-4, batch=64, epochs=20 | val accuracy 0.8621 | время эпохи в норме, узел gpu-07.
2025-02-11 | run-174 | LightGBM | digits-aug | AdamW, learning_rate=3e-4, batch=128, epochs=30 | val accuracy 0.9246 | ранняя остановка сработала раньше лимита эпох.
2025-02-11 | run-175 | ResNet-18 | cifar10-subset | AdamW, lr=0.05, batch=64, epochs=20 | val accuracy 0.8129 | ранняя остановка сработала раньше лимита эпох.
2025-02-12 | run-176 | MLP-3x256 | digits-aug | AdamW, lr=0.1, batch=256, epochs=30 | val accuracy 0.8697 | валидация стабильна между эпохами, переобучения не видно.
2025-02-12 | run-177 | ViT-S/16 | tabular-credit | SGD+momentum, lr=0.1, batch=128, epochs=20 | val accuracy 0.8095 | ранняя остановка сработала раньше лимита эпох.
2025-02-12 | run-178 | LightGBM | tabular-credit | AdamW, learning_rate=5e-4, batch=128, epochs=20 | val accuracy 0.8484 | повторить с другим сидом для оценки разброса.
2025-02-13 | run-179 | LightGBM | cifar10-subset | AdamW, learning_rate=0.05, batch=64, epochs=30 | val accuracy 0.9532 | ранняя остановка сработала раньше лимита эпох.
2025-02-13 | run-180 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=5e-4, batch=64, epochs=30 | val accuracy 0.9546 | результат в пределах разброса предыдущих запусков.
2025-02-14 | run-181 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=1e-3, batch=128, epochs=50 | val accuracy 0.937 | результат в пределах разброса предыдущих запусков.
2025-02-14 | run-182 | ResNet-18 | cifar10-subset | SGD+momentum, lr=1e-3, batch=256, epochs=30 | val accuracy 0.9268 | повторить с другим сидом для оценки разброса.
2025-02-17 | run-183 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=3e-4, batch=128, epochs=30 | val accuracy 0.8897 | без замечаний, кривые обучения ровные.
2025-02-17 | run-184 | ResNet-18 | tabular-credit | AdamW, lr=1e-3, batch=256, epochs=50 | val accuracy 0.8423 | ранняя остановка сработала раньше лимита эпох.
2025-02-17 | run-185 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=5e-4, batch=256, epochs=20 | val accuracy 0.8468 | валидация стабильна между эпохами, переобучения не видно.
2025-02-17 | run-186 | ResNet-18 | cifar10-subset | SGD+momentum, lr=5e-4, batch=64, epochs=50 | val accuracy 0.8881 | время эпохи в норме, узел gpu-07.
2025-02-18 | run-187 | ResNet-18 | tabular-credit | SGD+momentum, lr=5e-4, batch=256, epochs=50 | val accuracy 0.8858 | время эпохи в норме, узел gpu-07.
2025-02-18 | run-188 | ResNet-18 | tabular-credit | SGD+momentum, lr=5e-4, batch=128, epochs=50 | val accuracy 0.8482 | повторить с другим сидом для оценки разброса.
2025-02-18 | run-189 | ViT-S/16 | cifar10-subset | AdamW, lr=0.05, batch=128, epochs=20 | val accuracy 0.8662 | памяти GPU хватает с запасом, можно увеличить batch.
2025-02-19 | run-190 | MLP-3x256 | digits-aug | SGD+momentum, lr=3e-4, batch=256, epochs=50 | val accuracy 0.8787 | loss на валидации немного шумит после 15-й эпохи.
2025-02-19 | run-191 | MLP-3x256 | digits-aug | AdamW, lr=0.05, batch=256, epochs=30 | val accuracy 0.8495 | без замечаний, кривые обучения ровные.
2025-02-19 | run-192 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=0.05, batch=64, epochs=50 | val accuracy 0.8645 | валидация стабильна между эпохами, переобучения не видно.
2025-02-20 | run-193 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=1e-3, batch=64, epochs=30 | val accuracy 0.8192 | памяти GPU хватает с запасом, можно увеличить batch.
2025-02-20 | run-194 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=3e-4, batch=128, epochs=50 | val accuracy 0.8174 | loss на валидации немного шумит после 15-й эпохи.
2025-02-21 | run-195 | ViT-S/16 | tabular-credit | SGD+momentum, lr=0.05, batch=256, epochs=20 | val accuracy 0.8244 | loss на валидации немного шумит после 15-й эпохи.
2025-02-21 | run-196 | ViT-S/16 | cifar10-subset | AdamW, lr=0.05, batch=128, epochs=30 | val accuracy 0.8576 | результат в пределах разброса предыдущих запусков.
2025-02-21 | run-197 | MLP-3x256 | digits-aug | AdamW, lr=3e-4, batch=64, epochs=50 | val accuracy 0.8725 | без замечаний, кривые обучения ровные.
2025-02-21 | run-198 | MLP-3x256 | cifar10-subset | AdamW, lr=1e-3, batch=128, epochs=20 | val accuracy 0.9437 | повторить с другим сидом для оценки разброса.
2025-02-24 | run-199 | LightGBM | digits-aug | AdamW, learning_rate=0.1, batch=128, epochs=30 | val accuracy 0.924 | результат в пределах разброса предыдущих запусков.
2025-02-24 | run-200 | ResNet-18 | digits-aug | SGD+momentum, lr=0.1, batch=128, epochs=50 | val accuracy 0.875 | результат в пределах разброса предыдущих запусков.
2025-02-24 | run-201 | ViT-S/16 | tabular-credit | SGD+momentum, lr=1e-3, batch=64, epochs=30 | val accuracy 0.8072 | без замечаний, кривые обучения ровные.
2025-02-25 | run-202 | ResNet-18 | cifar10-subset | AdamW, lr=0.05, batch=256, epochs=30 | val accuracy 0.9123 | время эпохи в норме, узел gpu-07.
2025-02-25 | run-203 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=0.1, batch=64, epochs=30 | val accuracy 0.8169 | loss на валидации немного шумит после 15-й эпохи.
2025-02-25 | run-204 | MLP-3x256 | tabular-credit | SGD+momentum, lr=1e-3, batch=64, epochs=30 | val accuracy 0.8861 | валидация стабильна между эпохами, переобучения не видно.
2025-02-26 | run-205 | LightGBM | cifar10-subset | AdamW, learning_rate=5e-4, batch=256, epochs=30 | val accuracy 0.911 | памяти GPU хватает с запасом, можно увеличить batch.
2025-02-26 | run-206 | MLP-3x256 | tabular-credit | SGD+momentum, lr=5e-4, batch=64, epochs=20 | val accuracy 0.9439 | памяти GPU хватает с запасом, можно увеличить batch.
2025-02-26 | run-207 | ResNet-18 | cifar10-subset | SGD+momentum, lr=0.05, batch=64, epochs=30 | val accuracy 0.9196 | результат в пределах разброса предыдущих запусков.
2025-02-27 | run-208 | MLP-3x256 | cifar10-subset | AdamW, lr=1e-3, batch=64, epochs=30 | val accuracy 0.8398 | время эпохи в норме, узел gpu-07.
2025-02-27 | run-209 | MLP-3x256 | digits-aug | AdamW, lr=0.05, batch=128, epochs=20 | val accuracy 0.8922 | повторить с другим сидом для оценки разброса.
2025-02-27 | run-210 | ViT-S/16 | tabular-credit | AdamW, lr=3e-4, batch=128, epochs=30 | val accuracy 0.9387 | loss на валидации немного шумит после 15-й эпохи.
2025-02-27 | run-211 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=0.1, batch=64, epochs=50 | val accuracy 0.8893 | памяти GPU хватает с запасом, можно увеличить batch.
2025-02-28 | run-212 | MLP-3x256 | digits-aug | SGD+momentum, lr=5e-4, batch=64, epochs=50 | val accuracy 0.8382 | валидация стабильна между эпохами, переобучения не видно.
2025-02-28 | run-213 | ViT-S/16 | digits-aug | SGD+momentum, lr=3e-4, batch=256, epochs=50 | val accuracy 0.836 | без замечаний, кривые обучения ровные.
2025-02-28 | run-214 | MLP-3x256 | cifar10-subset | AdamW, lr=0.05, batch=64, epochs=50 | val accuracy 0.9065 | loss на валидации немного шумит после 15-й эпохи.
2025-02-28 | run-215 | ViT-S/16 | digits-aug | SGD+momentum, lr=3e-4, batch=64, epochs=20 | val accuracy 0.9221 | памяти GPU хватает с запасом, можно увеличить batch.
2025-03-03 | run-216 | ViT-S/16 | tabular-credit | SGD+momentum, lr=5e-4, batch=64, epochs=20 | val accuracy 0.896 | loss на валидации немного шумит после 15-й эпохи.
2025-03-03 | run-217 | LightGBM | digits-aug | AdamW, learning_rate=3e-4, batch=64, epochs=20 | val accuracy 0.9447 | валидация стабильна между эпохами, переобучения не видно.
2025-03-03 | run-218 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=0.1, batch=64, epochs=20 | val accuracy 0.9266 | повторить с другим сидом для оценки разброса.
2025-03-04 | run-219 | MLP-3x256 | tabular-credit | AdamW, lr=0.05, batch=64, epochs=50 | val accuracy 0.9486 | без замечаний, кривые обучения ровные.
2025-03-04 | run-220 | LightGBM | tabular-credit | SGD+momentum, learning_rate=5e-4, batch=64, epochs=50 | val accuracy 0.8021 | повторить с другим сидом для оценки разброса.
2025-03-04 | run-221 | MLP-3x256 | digits-aug | SGD+momentum, lr=0.1, batch=64, epochs=30 | val accuracy 0.8518 | повторить с другим сидом для оценки разброса.
2025-03-05 | run-222 | ViT-S/16 | tabular-credit | SGD+momentum, lr=0.05, batch=64, epochs=20 | val accuracy 0.9557 | loss на валидации немного шумит после 15-й эпохи.
2025-03-05 | run-223 | ViT-S/16 | tabular-credit | SGD+momentum, lr=3e-4, batch=256, epochs=20 | val accuracy 0.8429 | памяти GPU хватает с запасом, можно увеличить batch.
2025-03-05 | run-224 | ResNet-18 | tabular-credit | AdamW, lr=3e-4, batch=128, epochs=50 | val accuracy 0.8583 | без замечаний, кривые обучения ровные.
2025-03-05 | run-225 | ResNet-18 | cifar10-subset | AdamW, lr=1e-3, batch=256, epochs=30 | val accuracy 0.8373 | валидация стабильна между эпохами, переобучения не видно.
2025-03-06 | run-226 | LightGBM | digits-aug | SGD+momentum, learning_rate=3e-4, batch=64, epochs=30 | val accuracy 0.9473 | ранняя остановка сработала раньше лимита эпох.
2025-03-06 | run-227 | ViT-S/16 | tabular-credit | SGD+momentum, lr=3e-4, batch=256, epochs=50 | val accuracy 0.9071 | ранняя остановка сработала раньше лимита эпох.
2025-03-07 | run-228 | ResNet-18 | tabular-credit | SGD+momentum, lr=0.1, batch=256, epochs=50 | val accuracy 0.8877 | результат в пределах разброса предыдущих запусков.
2025-03-07 | run-229 | ResNet-18 | digits-aug | AdamW, lr=0.05, batch=64, epochs=20 | val accuracy 0.9574 | повторить с другим сидом для оценки разброса.
2025-03-07 | run-230 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=3e-4, batch=64, epochs=20 | val accuracy 0.9386 | без замечаний, кривые обучения ровные.
2025-03-07 | run-231 | ViT-S/16 | digits-aug | AdamW, lr=1e-3, batch=256, epochs=20 | val accuracy 0.8705 | результат в пределах разброса предыдущих запусков.
2025-03-10 | run-232 | ResNet-18 | tabular-credit | SGD+momentum, lr=0.05, batch=64, epochs=30 | val accuracy 0.8045 | валидация стабильна между эпохами, переобучения не видно.
2025-03-10 | run-233 | LightGBM | tabular-credit | AdamW, learning_rate=0.05, batch=128, epochs=20 | val accuracy 0.839 | ранняя остановка сработала раньше лимита эпох.
2025-03-10 | run-234 | LightGBM | tabular-credit | SGD+momentum, learning_rate=0.05, batch=256, epochs=30 | val accuracy 0.8024 | результат в пределах разброса предыдущих запусков.
2025-03-11 | run-235 | LightGBM | digits-aug | AdamW, learning_rate=0.05, batch=64, epochs=30 | val accuracy 0.8652 | loss на валидации немного шумит после 15-й эпохи.
2025-03-11 | run-236 | MLP-3x256 | cifar10-subset | AdamW, lr=5e-4, batch=64, epochs=30 | val accuracy 0.9221 | памяти GPU хватает с запасом, можно увеличить batch.
2025-03-12 | run-237 | LightGBM | tabular-credit | SGD+momentum, learning_rate=3e-4, batch=128, epochs=20 | val accuracy 0.8191 | loss на валидации немного шумит после 15-й эпохи.
2025-03-12 | run-238 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=1e-3, batch=64, epochs=50 | val accuracy 0.8965 | повторить с другим сидом для оценки разброса.
2025-03-12 | run-239 | LightGBM | tabular-credit | SGD+momentum, learning_rate=5e-4, batch=128, epochs=50 | val accuracy 0.8533 | ранняя остановка сработала раньше лимита эпох.
2025-03-13 | run-240 | ResNet-18 | cifar10-subset | AdamW, lr=0.05, batch=64, epochs=50 | val accuracy 0.8208 | результат в пределах разброса предыдущих запусков.
2025-03-13 | run-241 | LightGBM | digits-aug | AdamW, learning_rate=1e-3, batch=128, epochs=30 | val accuracy 0.8906 | повторить с другим сидом для оценки разброса.
2025-03-13 | run-242 | ViT-S/16 | cifar10-subset | AdamW, lr=0.1, batch=256, epochs=50 | val accuracy 0.8182 | ранняя остановка сработала раньше лимита эпох.
2025-03-14 | run-243 | LightGBM | tabular-credit | SGD+momentum, learning_rate=1e-3, batch=256, epochs=30 | val accuracy 0.8707 | памяти GPU хватает с запасом, можно увеличить batch.
2025-03-14 | run-244 | LightGBM | tabular-credit | AdamW, learning_rate=0.05, batch=64, epochs=50 | val accuracy 0.9306 | повторить с другим сидом для оценки разброса.
2025-03-14 | run-245 | MLP-3x256 | tabular-credit | SGD+momentum, lr=1e-3, batch=128, epochs=50 | val accuracy 0.8927 | время эпохи в норме, узел gpu-07.
2025-03-14 | run-246 | ResNet-18 | tabular-credit | AdamW, lr=3e-4, batch=256, epochs=50 | val accuracy 0.9041 | результат в пределах разброса предыдущих запусков.
2025-03-14 | СОБЫТИЕ | Сбой питания в серверной в 02:40: задача прервана, потеряны чекпойнты run-246, перезапуск с нуля.
2025-03-17 | run-247 | ViT-S/16 | digits-aug | AdamW, lr=5e-4, batch=128, epochs=20 | val accuracy 0.8305 | результат в пределах разброса предыдущих запусков.
2025-03-17 | run-248 | ViT-S/16 | digits-aug | SGD+momentum, lr=0.1, batch=256, epochs=20 | val accuracy 0.9477 | время эпохи в норме, узел gpu-07.
2025-03-18 | run-249 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=0.05, batch=128, epochs=30 | val accuracy 0.9552 | loss на валидации немного шумит после 15-й эпохи.
2025-03-18 | run-250 | LightGBM | cifar10-subset | SGD+momentum, learning_rate=1e-3, batch=128, epochs=20 | val accuracy 0.8813 | ранняя остановка сработала раньше лимита эпох.
2025-03-18 | run-251 | MLP-3x256 | tabular-credit | SGD+momentum, lr=1e-3, batch=128, epochs=50 | val accuracy 0.8961 | повторить с другим сидом для оценки разброса.
2025-03-19 | run-252 | LightGBM | cifar10-subset | SGD+momentum, learning_rate=0.05, batch=64, epochs=20 | val accuracy 0.952 | валидация стабильна между эпохами, переобучения не видно.
2025-03-19 | run-253 | LightGBM | tabular-credit | AdamW, learning_rate=1e-3, batch=64, epochs=50 | val accuracy 0.8315 | результат в пределах разброса предыдущих запусков.
2025-03-19 | run-254 | ResNet-18 | tabular-credit | AdamW, lr=5e-4, batch=64, epochs=50 | val accuracy 0.8648 | памяти GPU хватает с запасом, можно увеличить batch.
2025-03-20 | run-255 | ViT-S/16 | digits-aug | AdamW, lr=0.05, batch=256, epochs=20 | val accuracy 0.943 | повторить с другим сидом для оценки разброса.
2025-03-20 | run-256 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=1e-3, batch=256, epochs=20 | val accuracy 0.9204 | ранняя остановка сработала раньше лимита эпох.
2025-03-20 | run-257 | ViT-S/16 | tabular-credit | AdamW, lr=1e-3, batch=128, epochs=20 | val accuracy 0.8924 | памяти GPU хватает с запасом, можно увеличить batch.
